,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,job_new,reason_new
0,1,1100,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.366666667,1.0,9.0,34.669820788500004,3,2
1,1,1300,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.83333333,0.0,14.0,34.669820788500004,3,2
2,1,1500,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0,149.46666667,1.0,10.0,34.669820788500004,3,2
3,1,1500,63000.0,86699.5,,,7.0,0.0,0.0,166.62473824,1.0,19.0,34.669820788500004,3,1
4,0,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,34.669820788500004,2,2
5,1,1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558,3,2
6,1,1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,34.669820788500004,3,2
7,1,1800,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093,3,2
8,1,2000,32700.0,46740.0,HomeImp,Other,3.0,0.0,2.0,216.93333333,1.0,12.0,34.669820788500004,3,2
9,1,2000,63000.0,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,34.669820788500004,5,2
10,1,2000,22608.0,86699.5,,,18.0,0.0,0.0,166.62473824,1.0,19.0,34.669820788500004,3,1
11,1,2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.53333333,1.0,9.0,34.669820788500004,2,2
12,1,2000,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.066666667,2.0,25.0,34.669820788500004,3,2
13,0,2000,64536.0,87400.0,,Mgr,2.5,0.0,0.0,147.13333333,0.0,24.0,34.669820788500004,1,1
14,1,2100,71000.0,83850.0,HomeImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,34.669820788500004,3,2
15,1,2200,24280.0,34687.0,HomeImp,Other,7.0,0.0,1.0,300.86666667,0.0,8.0,34.669820788500004,3,2
16,1,2200,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,34.669820788500004,1,2
